lon,lat,course_id,track_seg_point_id,ele,dis
141.3772899,38.44282,2,450,15.5,8.611892961
141.37747,38.44277,2,451,17.2,8.628534303
141.37771,38.44272,2,452,19.5,8.650163007
141.37782,38.4427,2,453,20.6,8.659997796
141.37791,38.44268,2,454,21.6,8.668145402
141.37816,38.44263,2,455,24.3,8.690616895
141.37835,38.4426,2,456,26.3,8.707497168
141.37844,38.44258,2,457,26.7,8.715644784
141.37866,38.44254,2,458,27.4,8.7353144
141.3787,38.44253,2,459,27.5,8.73897122
141.37888,38.4425,2,460,28,8.7549987
141.3792599,38.44243,2,461,30.5,8.788988055
141.37933,38.44242,2,462,31.1,8.795193619
141.37995,38.44231,2,463,37.4,8.850558527
141.38014,38.44227,2,464,40,8.86769332
141.38061,38.4421899,2,465,45.8,8.909584334
141.38085,38.44215,2,466,48.7,8.930952092
141.3810499,38.44212,2,467,51.4,8.9486785
141.38106,38.44211,2,468,51.7,8.950096309
141.38115,38.44209,2,469,52.8,8.958243977
141.38118,38.44207,2,470,53.4,8.961675051
141.38125,38.44205,2,471,54.3,8.96816446
141.38127,38.44204,2,472,54.6,8.970230967
141.38136,38.4419899,2,473,55.8,8.979847283
141.38144,38.44194,2,474,56.7,8.988754119
141.38145,38.44193,2,475,56.8,8.990166542
141.38147,38.44192,2,476,56.9,8.992233052
141.38152,38.44188,2,477,57.3,8.998457651
141.38156,38.44184,2,478,57.6,9.004107349
141.38161,38.44178,2,479,57.9,9.012074429
141.38165,38.44174,2,480,57.9,9.01772413
141.38173,38.44165,2,481,58.5,9.029918225
141.3818499,38.4415,2,482,62,9.049596686
141.38191,38.44142,2,483,63.5,9.059918
141.38195,38.44138,2,484,64.2,9.065567711
141.382,38.44133,2,485,64.9,9.072629852
141.38207,38.44127,2,486,65.5,9.081667502
141.3821,38.44124,2,487,65.8,9.085904789
141.38213,38.44122,2,488,65.9,9.089335886
141.38222,38.44117,2,489,65.8,9.098945837
141.38228,38.44113,2,490,65.8,9.105808037
141.38233,38.44111,2,491,65.5,9.110697702
141.38245,38.44106,2,492,64.7,9.122535708
141.38255,38.44102,2,493,64.6,9.132315048
141.38286,38.44089,2,494,65.9,9.162940235
141.38306,38.44081,2,495,66.5,9.182498955
141.38309,38.4408,2,496,66.7,9.185338534
141.38326,38.44073,2,497,67.7,9.202065781
141.3833,38.44071,2,498,68,9.206198849
141.38337,38.44068,2,499,68.3,9.213148382
141.38348,38.44064,2,500,68.2,9.223710839
141.3835,38.44063,2,501,68.2,9.225777375
141.38357,38.4406,2,502,68,9.232726914
141.38366,38.44054,2,503,67.5,9.243020261
141.38374,38.4404899,2,504,66.7,9.251941077
141.3838,38.44044,2,505,65.9,9.259563065
141.38385,38.44039,2,506,64.9,9.26662524
